Name,n-events,ParentDataset,Source,Parameters
masterclass_9-lnu.csv,91,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_9-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
mc_dy.csv,109656,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_dy.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
mc_qcd.csv,137,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_qcd.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
mc_ttbar.csv,383167,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_ttbar.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
mc_wjets.csv,76196,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_wjets.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
MuRun2010B_0.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_0.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_1.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_1.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_2.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_2.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_3.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_3.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_4.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_4.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_5.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_5.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_6.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_6.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_7.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_7.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_8.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_8.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B_9.csv,10000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B_9.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
MuRun2010B.csv,100000,Mu 2010,http://opendata.cern.ch/record/700/files/MuRun2010B.csv,Run Event Type1 E1 px1  py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata1.csv,48223,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata1.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata2.csv,33177,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata2.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata3.csv,19519,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata3.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata4.csv,7915,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata4.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata5.csv,8270,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata5.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
piikkidata6.csv,4106,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/piikkidata6.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
SingleMuonMet.csv,457575,SingleMu 2011,http://kati.web.cern.ch/kati/SingleMuonMet.csv,"['Run', 'Event', 'type1', 'E1', 'px1', 'py1', 'pz1', 'pt1', 'eta1', 'phi1', 'Q1', 'iso1', 'chisq1', 'dxy1', 'type2', 'E2', 'px2', 'py2', 'pz2', 'pt2', 'eta2', 'phi2', 'Q2', 'iso2', 'chisq2', 'dxy2', 'met_et', 'met_phi']"
Wenu.csv,1000,Electron 2010,http://opendata.cern.ch/record/308/files/Wenu.csv,Run Event E px py pz pt eta phi Q MET phiMET
Wenu.csv,100000,SingleElectron 2011,http://opendata.cern.ch/record/545/files/Wenu.csv,Run Event pt eta phi Q type delEta delPhi sigmaEtaEta HoverE isoTrack isoEcal isoHcal MET phiMET
Wmunu.csv,1000,Mu 2010,http://opendata.cern.ch/record/309/files/Wmunu.csv,Run Event E px py pz pt eta phi Q MET phiMET
Wmunu.csv,100000,SingleMu 2011,http://opendata.cern.ch/record/545/files/Wmunu.csv,Run Event pt eta phi Q chiSq dxy iso MET phiMET
Ymumu.csv,20000,DoubleMu 2011,http://opendata.cern.ch/record/545/files/Ymumu.csv,Run Event type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2
Zee.csv,663,DoubleElectron 2011,http://opendata.cern.ch/record/545/files/Zee.csv,Type Run Event E1 px1 py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
Zee.csv,10000,Electron 2010,http://opendata.cern.ch/record/306/files/Zee.csv,Run Event pt1 eta1 phi1 Q1 type1 sigmaEtaEta1 HoverE1 isoTrack1 isoEcal1 isoHcal1 pt2 eta2 phi2 Q2 type2 sigmaEtaEta2 HoverE2 isoTrack2 isoEcal2 isoHcal2
Zmumu.csv,2304,DoubleMu 2011,http://opendata.cern.ch/record/545/files/Zmumu.csv,Type Run Event E1 px1 py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
Zmumu.csv,10000,Mu 2010,http://opendata.cern.ch/record/307/files/Zmumu.csv,Run Event pt1 eta1 phi1 Q1 dxy1 iso1 pt2 eta2 phi2 Q2 dxy2 iso2
DoubleMuRun2011A.csv,475465,DoubleMu 2011,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/DoubleMuRun2011A.csv,Run Event Type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 Type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
